A,N,N_minus_Z,Q_2beta_minus_calculable,Q_2beta_minus_estimated,Q_2beta_minus_keV,Q_2beta_minus_unc_keV,Q_4beta_minus_calculable,Q_4beta_minus_estimated,Q_4beta_minus_keV,Q_4beta_minus_unc_keV,Q_alpha_calculable,Q_alpha_estimated,Q_alpha_keV,Q_alpha_unc_keV,Q_beta_minus_n_calculable,Q_beta_minus_n_estimated,Q_beta_minus_n_keV,Q_beta_minus_n_unc_keV,Q_d_alpha_calculable,Q_d_alpha_estimated,Q_d_alpha_keV,Q_d_alpha_unc_keV,Q_ep_calculable,Q_ep_estimated,Q_ep_keV,Q_ep_unc_keV,Q_n_alpha_calculable,Q_n_alpha_estimated,Q_n_alpha_keV,Q_n_alpha_unc_keV,Q_p_alpha_calculable,Q_p_alpha_estimated,Q_p_alpha_keV,Q_p_alpha_unc_keV,S_2n_calculable,S_2n_estimated,S_2n_keV,S_2n_unc_keV,S_2p_calculable,S_2p_estimated,S_2p_keV,S_2p_unc_keV,S_n_calculable,S_n_estimated,S_n_keV,S_n_unc_keV,S_p_calculable,S_p_estimated,S_p_keV,S_p_unc_keV,Symbol,Z,atomic_mass_estimated,atomic_mass_micro_u,atomic_mass_u,atomic_mass_unc_micro_u,beta_decay_energy_estimated,beta_decay_energy_keV,beta_decay_energy_unc_keV,beta_decay_mode,binding_energy_per_A_estimated,binding_energy_per_A_keV,binding_energy_per_A_unc_keV,decay_modes,discovery_year,half_life_estimated,half_life_raw,half_life_s,half_life_unc_raw,half_life_unit,mass_excess_estimated,mass_excess_keV,mass_excess_unc_keV,origin,source_dataset,source_file,spin_parity,spin_parity_measured,spin_parity_systematics
1,1,1,False,False,,,False,False,,,False,False,,,False,False,,,False,False,,,False,False,,,False,False,,,False,False,,,False,False,,,False,False,,,True,False,0.0,0.0,False,False,,,n,0,False,8664.9159,1.0086649159,0.00047,False,782.347,0.0004,B-,False,0.0,0.0,B-=100,1932,False,609.8,609.8,0.6,s,False,8071.31806,0.00044,,AME2020,mass_1.mas20,1/2+*,True,False
1,0,-1,False,False,,,False,False,,,False,False,,,False,False,,,False,False,,,False,False,,,False,False,,,False,False,,,False,False,,,False,False,,,False,False,,,True,False,0.0,0.0,H,1,False,7825.031898,1.007825031898,1.4e-05,False,,,B-,False,0.0,0.0,IS=99.9855 78,1920,False,stbl,inf,,,False,7288.971064,1.3e-05,,AME2020,mass_1.mas20,1/2+*,True,False
2,1,0,False,False,,,False,False,,,False,False,,,False,False,,,True,False,23846.5299,0.0002,False,False,,,False,False,,,False,False,,,False,False,,,False,False,,,True,False,2224.5662,0.0004,True,False,2224.5662,0.0004,H,1,False,14101.777844,2.014101777844,1.5e-05,False,,,B-,False,1112.2831,0.0002,IS=0.0145 78,1932,False,stbl,inf,,,False,13135.722895,1.5e-05,,AME2020,mass_1.mas20,1+*,True,False
3,2,1,True,True,-13717.0,2000.0,False,False,,,False,False,,,False,False,,,True,False,17589.2999,0.0005,False,False,,,False,False,,,True,False,19813.8661,0.0002,True,False,8481.7963,0.0009,False,False,,,True,False,6257.2301,0.0004,False,False,,,H,1,False,16049.28132,3.01604928132,8e-05,False,18.59202,6e-05,B-,False,2827.2654,0.0003,B-=100,1934,False,12.32,388789632.0,0.02,y,False,14949.8109,8e-05,,AME2020,mass_1.mas20,1/2+*,True,False
3,1,-1,False,False,,,False,False,,,False,False,,,False,False,,,True,False,18353.0548,0.0002,False,False,,,True,False,20577.6211,0.0005,False,False,,,False,False,,,True,False,7718.0413,0.0004,False,False,,,True,False,5493.4751,0.0001,He,2,False,16029.32197,3.01602932197,6e-05,True,-13736.0,2000.0,B-,False,2572.68044,0.00015,IS=0.0002 2,1934,False,stbl,inf,,,False,14931.21888,6e-05,,AME2020,mass_1.mas20,1/2+*,True,False
3,0,-3,False,False,,,False,False,,,False,False,,,False,False,,,False,False,,,True,True,8242.0,2000.0,False,False,,,False,False,,,False,False,,,True,True,-6800.0,2000.0,False,False,,,False,False,,,Li,3,True,30775.0,3.030775,2147.0,False,,,B-,True,-2267.0,667.0,p ?,,False,p-unst,0.0,,,True,28667.0,2000.0,-pp,AME2020,mass_1.mas20,3/2-#,False,True
4,3,2,True,False,-702.0609,234.5208,False,False,,,False,False,,,True,False,1618.5921,100.0,False,False,,,False,False,,,False,False,,,True,False,21413.8661,100.0,True,False,4657.23,100.0,False,False,,,True,False,-1600.0,100.0,False,False,,,H,1,False,26431.867,4.026431867,107.354,False,22196.2131,100.0,B-,False,1720.4491,25.0,n=100,1981,False,139,1.3899999999999998e-22,10,ys,False,24621.129,100.0,-n,AME2020,mass_1.mas20,2-,False,False
4,2,0,False,False,,,False,False,,,True,False,0.0,0.0,True,True,-34313.0,2000.0,True,False,0.0,0.0,False,False,,,True,False,-0.0,0.0,True,False,0.0,0.0,False,False,,,False,False,,,True,False,20577.6211,0.0005,True,False,19813.8661,0.0002,He,2,False,2603.25413,4.00260325413,0.00016,False,-22898.274,212.132,B-,False,7073.9156,0.0002,IS=99.9998 2,1908,False,stbl,inf,,,False,2424.91587,0.00015,,AME2020,mass_1.mas20,0+,False,False
4,1,-2,False,False,,,False,False,,,False,False,,,False,False,,,False,False,,,True,False,3084.4079,212.132,True,False,23680.621,212.132,False,False,,,False,False,,,True,False,2390.4751,212.132,True,True,11415.0,2011.0,True,False,-3102.9999,212.132,Li,3,False,27185.561,4.027185561,227.733,False,,,B-,False,1153.7603,53.033,p=100,1965,False,91,9.099999999999999e-23,9,ys,False,25323.19,212.132,-p,AME2020,mass_1.mas20,2-,False,False
5,4,3,True,False,21213.5602,102.4695,False,False,,,False,False,,,True,False,22396.2132,89.4427,False,False,,,False,False,,,False,False,,,False,False,,,True,False,-1800.0001,89.4427,False,False,,,True,False,-200.0,134.1641,False,False,,,H,1,False,35311.492,5.035311492,96.02,False,21661.2131,91.6515,B-,False,1336.3592,17.8885,2n=100,1987,False,86,8.599999999999999e-23,6,ys,False,32892.447,89.443,-nn,AME2020,mass_1.mas20,(1/2+),False,False
