Z,N,A,actual_binding_energy_per_A_keV,uam_v4_prediction_keV_per_A,frdm2012_prediction_keV_per_A,uam_v4_residual_keV_per_A,frdm2012_residual_keV_per_A,uam_v4_absolute_residual_keV_per_A,frdm2012_absolute_residual_keV_per_A,lower_error_model
8,8,16,7976.2072,7801.236772820913,8001.875,-174.97042717908698,25.66780000000017,174.97042717908698,25.66780000000017,FRDM2012
8,9,17,7750.7291,7812.868318972186,7791.176470588235,62.13921897218643,40.44737058823557,62.13921897218643,40.44737058823557,FRDM2012
8,10,18,7767.0981,7949.243312747167,7880.0,182.14521274716662,112.90189999999984,182.14521274716662,112.90189999999984,FRDM2012
8,11,19,7566.4952,7649.092568007191,7628.9473684210525,82.59736800719111,62.45216842105219,82.59736800719111,62.45216842105219,FRDM2012
8,12,20,7568.5707,7579.592826592372,7649.0,11.022126592371933,80.42929999999978,11.022126592371933,80.42929999999978,UAM_V4
8,13,21,7389.3747,7401.566558286809,7388.0952380952385,12.191858286808383,-1.2794619047617743,12.191858286808383,1.2794619047617743,FRDM2012
8,14,22,7364.8722,7356.000998527587,7335.909090909091,-8.871201472412395,-28.9631090909088,8.871201472412395,28.9631090909088,UAM_V4
8,15,23,7163.4856,7115.644057284051,7050.434782608696,-47.84154271594889,-113.05081739130401,47.84154271594889,113.05081739130401,UAM_V4
8,16,24,7039.6855,6978.645441666017,6915.833333333333,-61.040058333982415,-123.85216666666656,61.040058333982415,123.85216666666656,UAM_V4
8,17,25,6727.8058,6598.082112696146,6596.4,-129.7236873038537,-131.40580000000045,129.7236873038537,131.40580000000045,UAM_V4
8,18,26,6497.479,6363.315336326868,6438.846153846154,-134.16366367313185,-58.632846153846,134.16366367313185,58.632846153846,FRDM2012
8,19,27,6185.0,6292.126,6129.62962962963,107.1260000000002,-55.37037037037044,107.1260000000002,55.37037037037044,FRDM2012
8,20,28,5988.0,5955.272500000001,5957.857142857143,-32.727499999999054,-30.142857142856883,32.727499999999054,30.142857142856883,FRDM2012
9,8,17,7542.3284,7518.821048114498,7601.176470588235,-23.50735188550243,58.848070588234805,23.50735188550243,58.848070588234805,UAM_V4
9,9,18,7631.6383,7641.360360236775,7596.111111111111,9.722060236775178,-35.527188888888304,9.722060236775178,35.527188888888304,UAM_V4
9,10,19,7779.0192,7838.939682649449,7816.315789473684,59.920482649449696,37.296589473684435,59.920482649449696,37.296589473684435,FRDM2012
9,11,20,7720.1351,7768.736953430763,7709.0,48.601853430762276,-11.13510000000042,48.601853430762276,11.13510000000042,FRDM2012
9,12,21,7738.2934,7791.45672463118,7759.523809523809,53.16332463118033,21.230409523809612,53.16332463118033,21.230409523809612,FRDM2012
9,13,22,7624.2954,7672.804389779692,7617.727272727273,48.508989779692456,-6.568127272726997,48.508989779692456,6.568127272726997,FRDM2012
9,14,23,7622.3447,7611.506380480863,7595.652173913043,-10.838319519136348,-26.692526086956605,10.838319519136348,26.692526086956605,UAM_V4
9,15,24,7463.5831,7418.394912467886,7400.0,-45.18818753211417,-63.58309999999983,45.18818753211417,63.58309999999983,UAM_V4
9,16,25,7336.3065,7309.464468477961,7274.0,-26.84203152203827,-62.30649999999969,26.84203152203827,62.30649999999969,UAM_V4
9,17,26,7082.2497,7092.238656222419,7030.7692307692305,9.988956222418892,-51.48046923076981,9.988956222418892,51.48046923076981,UAM_V4
9,18,27,6879.6662,6918.099247433355,6875.925925925926,38.43304743335557,-3.740274074073568,38.43304743335557,3.740274074073568,FRDM2012
9,19,28,6626.8567,6661.86124948783,6639.285714285715,35.004549487829536,12.429014285714402,35.004549487829536,12.429014285714402,FRDM2012
9,20,29,6444.0314,6482.433392770212,6476.206896551724,38.40199277021202,32.17549655172388,38.40199277021202,32.17549655172388,FRDM2012
9,21,30,6205.0,6171.4637,6237.666666666667,-33.536299999999756,32.66666666666697,33.536299999999756,32.66666666666697,FRDM2012
9,22,31,6011.0,6008.3966,6086.451612903225,-2.603399999999965,75.4516129032254,2.603399999999965,75.4516129032254,UAM_V4
