target_retained_fraction,retained_count,available_raw_prediction_count,count,prediction_count,coverage,mae_keV_per_A,median_abs_keV_per_A,p95_abs_keV_per_A,p99_abs_keV_per_A,rmse_keV_per_A,mean_signed_keV_per_A,max_abs_keV_per_A,mae_total_keV,median_abs_total_keV,p95_abs_total_keV,rmse_total_keV,mae_total_MeV,maximum_retained_directional_disagreement_keV_per_A
1.0,3553,3553,3553,3553,1.0,26.173193198681385,1.0,45.69523251926793,401.4499093858882,239.60158216582184,8.787359414095883,7192.8249,514.009624312155,141.2276891130914,2094.157835096284,1447.8088600597307,0.514009624312155,8213.519100000001
0.995,3535,3553,3535,3535,1.0,15.606730874946479,1.0,39.509897532317105,213.01818789407145,159.2807177233924,5.836970153417314,7192.8249,461.162000383674,140.0,1968.0435253580783,1133.874100726003,0.461162000383674,1658.9595
0.99,3517,3553,3517,3517,1.0,13.062019552763967,0.9908869218206746,37.00069035907982,164.6538434208077,152.40110889828563,3.892675652607134,7192.8249,438.8928371519015,138.0,1774.0151276796137,1043.8769747726283,0.4388928371519015,664.7312999999995
0.9875,3509,3553,3509,3509,1.0,12.453126077293431,0.9852545991861916,36.199075877475835,157.97496260093638,150.890895246919,4.032774189185448,7192.8249,431.4954203807626,137.7612894957565,1754.0550958774618,1014.0176538755306,0.4314954203807626,523.5575999999992
0.98,3482,3553,3482,3482,1.0,11.072297980511891,0.9713082337925698,32.68335420595938,127.75732610625592,149.74439638168883,4.028489555549899,7192.8249,410.9024989199958,135.19535135103843,1616.932630131108,945.5240391944709,0.4109024989199958,331.94348333333346
0.95,3375,3553,3375,3375,1.0,8.285709051338317,0.9002923092102719,21.123542751125854,63.227387999999394,145.45334428185868,4.021747613358605,7192.8249,364.891274799377,127.14204910168883,1338.3865556071812,819.9999834683213,0.364891274799377,117.95100000000002
0.9,3198,3553,3198,3198,1.0,6.871698517223032,0.7774831170081598,13.609167731360138,40.82473242870701,148.63919279419005,3.676748992264774,7192.8249,314.54250134752556,114.73441164768792,1145.0540446888372,712.8910620950875,0.31454250134752554,57.968299999999545
0.8,2842,3553,2842,2842,1.0,6.430903049193124,0.6500938153967581,8.626346365859352,35.148158806992186,157.53818757968722,3.9888985310787257,7192.8249,279.0370974446225,102.41008722552169,1004.7137870093978,667.964403662486,0.27903709744462246,27.636966666666922
0.7,2487,3553,2487,2487,1.0,6.558309788972463,0.5529526179507229,7.307030159774965,26.780581605757924,168.30573343437837,4.711735080734883,7192.8249,259.12090169005944,93.93795682326527,913.9458014198374,652.4720222432613,0.2591209016900594,17.94090000000142
0.5,1776,3553,1776,1776,1.0,8.323366071983122,0.5028981244613533,7.034853892126648,27.92205130253251,199.14354290888372,6.538119702703804,7192.8249,267.9176487229097,96.21834863224831,944.2115716051876,719.3053898882424,0.2679176487229097,11.0
