entity,z,n,a,mass_region,shell_class,stability_class,actual_binding_energy_per_A_keV,guarded_blended_prediction_keV_per_a,signed_residual_keV_per_A,absolute_residual_keV_per_A,signed_residual_total_keV,absolute_residual_total_keV,directional_disagreement_keV_per_a,n_predictor,z_predictor
C-8,6,2,8,LIGHT_A_LT_40,AT_MAGIC_Z_OR_N,RADIOACTIVE_WITH_NUMERIC_HALF_LIFE,3101.5242,4383.9406,1282.4164,1282.4164,10259.3312,10259.3312,1753.7774,ONE_SIDED_SAME_PARITY_RIGHT,CROSS_ELEMENT_ONE_SIDED_LEFT
Be-8,4,4,8,LIGHT_A_LT_40,WITHIN_2_OF_MAGIC_Z_OR_N,RADIOACTIVE_WITH_NUMERIC_HALF_LIFE,7062.4356,5849.324854676981,-1213.1107453230188,1213.1107453230188,-9704.88596258415,9704.88596258415,598.1413166666653,SAME_PARITY_LINEAR_N2,CROSS_ELEMENT_CUBIC_Z1_Z2
F-13,9,4,13,LIGHT_A_LT_40,WITHIN_2_OF_MAGIC_Z_OR_N,RADIOACTIVE_OR_UNRESOLVED_HALF_LIFE,4297.0,5452.591,1155.5910000000003,1155.5910000000003,15022.683000000005,15022.683000000005,1047.042300000001,ONE_SIDED_SAME_PARITY_RIGHT,CROSS_ELEMENT_ONE_SIDED_LEFT
O-11,8,3,11,LIGHT_A_LT_40,AT_MAGIC_Z_OR_N,RADIOACTIVE_WITH_NUMERIC_HALF_LIFE,3162.4372,4159.8357000000005,997.3985000000007,997.3985000000007,10971.383500000007,10971.383500000007,1209.914200000001,ONE_SIDED_SAME_PARITY_RIGHT,CROSS_ELEMENT_ONE_SIDED_LEFT
Ne-15,10,5,15,LIGHT_A_LT_40,WITHIN_2_OF_MAGIC_Z_OR_N,RADIOACTIVE_WITH_NUMERIC_HALF_LIFE,4868.7285,5713.6551,844.9265999999998,844.9265999999998,12673.898999999998,12673.898999999998,955.0005000000001,ONE_SIDED_SAME_PARITY_RIGHT,CROSS_ELEMENT_ONE_SIDED_LEFT
He-9,2,7,9,LIGHT_A_LT_40,AT_MAGIC_Z_OR_N,RADIOACTIVE_WITH_NUMERIC_HALF_LIFE,3349.038,2733.9830999999995,-615.0549000000005,615.0549000000005,-5535.494100000005,5535.494100000005,376.1791000000003,ONE_SIDED_SAME_PARITY_LEFT,CROSS_ELEMENT_ONE_SIDED_RIGHT
Li-8,3,5,8,LIGHT_A_LT_40,WITHIN_2_OF_MAGIC_Z_OR_N,RADIOACTIVE_WITH_NUMERIC_HALF_LIFE,5159.7124,5753.352872043798,593.6404720437977,593.6404720437977,4749.123776350381,4749.123776350381,66.13600000000042,SAME_PARITY_CUBIC_N2_N4,CROSS_ELEMENT_CUBIC_Z1_Z2
Na-17,11,6,17,LIGHT_A_LT_40,WITHIN_2_OF_MAGIC_Z_OR_N,RADIOACTIVE_OR_UNRESOLVED_HALF_LIFE,5522.7653,6110.2147,587.4494000000004,587.4494000000004,9986.639800000008,9986.639800000008,441.3190000000004,ONE_SIDED_SAME_PARITY_RIGHT,CROSS_ELEMENT_ONE_SIDED_LEFT
C-11,6,5,11,LIGHT_A_LT_40,WITHIN_2_OF_MAGIC_Z_OR_N,RADIOACTIVE_WITH_NUMERIC_HALF_LIFE,6676.4563,6190.48187267108,-485.9744273289198,485.9744273289198,-5345.7187006181175,5345.7187006181175,480.75378333333265,SAME_PARITY_LINEAR_N2,CROSS_ELEMENT_CUBIC_Z1_Z2
C-10,6,4,10,LIGHT_A_LT_40,WITHIN_2_OF_MAGIC_Z_OR_N,RADIOACTIVE_WITH_NUMERIC_HALF_LIFE,6032.0426,5606.8719313557085,-425.17066864429125,425.17066864429125,-4251.7066864429125,4251.7066864429125,362.079483333333,SAME_PARITY_LINEAR_N2,CROSS_ELEMENT_CUBIC_Z1_Z2
Mg-19,12,7,19,LIGHT_A_LT_40,WITHIN_2_OF_MAGIC_Z_OR_N,RADIOACTIVE_WITH_NUMERIC_HALF_LIFE,5901.4992,6308.940499999999,407.4412999999986,407.4412999999986,7741.384699999973,7741.384699999973,545.0043999999989,ONE_SIDED_SAME_PARITY_RIGHT,CROSS_ELEMENT_ONE_SIDED_LEFT
Si-22,14,8,22,LIGHT_A_LT_40,AT_MAGIC_Z_OR_N,RADIOACTIVE_WITH_NUMERIC_HALF_LIFE,6044.0,6409.7575,365.7574999999997,365.7574999999997,8046.664999999994,8046.664999999994,543.7826999999997,ONE_SIDED_SAME_PARITY_RIGHT,CROSS_ELEMENT_ONE_SIDED_LEFT
O-14,8,6,14,LIGHT_A_LT_40,AT_MAGIC_Z_OR_N,RADIOACTIVE_WITH_NUMERIC_HALF_LIFE,7052.2783,6688.381109114384,-363.8971908856156,363.8971908856156,-5094.560672398618,5094.560672398618,434.570333333334,SAME_PARITY_LINEAR_N2,CROSS_ELEMENT_CUBIC_Z1_Z2
K-31,19,12,31,LIGHT_A_LT_40,WITHIN_2_OF_MAGIC_Z_OR_N,RADIOACTIVE_OR_UNRESOLVED_HALF_LIFE,6487.0,6818.1591,331.15909999999985,331.15909999999985,10265.932099999995,10265.932099999995,215.15909999999985,ONE_SIDED_SAME_PARITY_RIGHT,CROSS_ELEMENT_ONE_SIDED_LEFT
