entity,z,n,a,mass_region,actual_binding_energy_per_A_keV,guarded_blended_prediction_keV_per_a,signed_residual_keV_per_a,absolute_residual_keV_per_a,n_prediction_keV_per_a,z_prediction_keV_per_a,directional_disagreement_keV_per_a,directional_disagreement_threshold_keV_per_a,weight_n,weight_z,guard_decision,guard_reasons
n-1,0,1,1,LIGHT_A_LT_40,0.0,,,,,-348.1142399999999,,,,,ABSTAIN,ULTRALIGHT_A_LT_8;NO_ELIGIBLE_DIRECTION
H-1,1,0,1,LIGHT_A_LT_40,0.0,,,,4318.171600000001,,,,1.0,0.0,ABSTAIN,ULTRALIGHT_A_LT_8
H-2,1,1,2,LIGHT_A_LT_40,1112.2831,,,,2479.2587000000003,1286.34022,1192.9184800000003,,1.0,0.0,ABSTAIN,ULTRALIGHT_A_LT_8
H-3,1,2,3,LIGHT_A_LT_40,2827.2654,,,,668.1796,8881.6987,8213.519100000001,,1.0,0.0,ABSTAIN,ULTRALIGHT_A_LT_8
H-4,1,3,4,LIGHT_A_LT_40,1720.4491,,,,1036.9613,5691.9338,4654.9725,,1.0,0.0,ABSTAIN,ULTRALIGHT_A_LT_8
H-5,1,4,5,LIGHT_A_LT_40,1336.3592,,,,1883.6327,4150.599700000001,2266.9670000000006,,1.0,0.0,ABSTAIN,ULTRALIGHT_A_LT_8
H-6,1,5,6,LIGHT_A_LT_40,961.6395,,,,2328.6151,3086.403199999999,757.7880999999988,,1.0,0.0,ABSTAIN,ULTRALIGHT_A_LT_8
H-7,1,6,7,LIGHT_A_LT_40,940.0,,,,-154.54700000000003,2811.2735000000002,2965.8205000000003,,1.0,0.0,ABSTAIN,ULTRALIGHT_A_LT_8
He-3,2,1,3,LIGHT_A_LT_40,2572.68044,,,,6901.2072,1507.6956,5393.5116,,1.0,0.0,ABSTAIN,ULTRALIGHT_A_LT_8
He-4,2,2,4,LIGHT_A_LT_40,7073.9156,,,,5832.5188,4046.69895,1785.8198499999999,,1.0,0.0,ABSTAIN,ULTRALIGHT_A_LT_8
He-5,2,3,5,LIGHT_A_LT_40,5512.1325,,,,3347.86912,3526.3901499999997,178.52102999999988,,1.0,0.0,ABSTAIN,ULTRALIGHT_A_LT_8
He-6,2,4,6,LIGHT_A_LT_40,4878.5199,,,,5499.2183,3471.39965,2027.8186500000006,,1.0,0.0,ABSTAIN,ULTRALIGHT_A_LT_8
He-7,2,5,7,LIGHT_A_LT_40,4123.0578,,,,4430.58525,3060.6759500000003,1369.9092999999998,,1.0,0.0,ABSTAIN,ULTRALIGHT_A_LT_8
He-8,2,6,8,LIGHT_A_LT_40,3924.521,,,,3936.82695,2988.88425,947.9427000000001,817.264715674138,0.43730099578415077,0.5626990042158492,ABSTAIN,EXCESSIVE_DIRECTIONAL_DISAGREEMENT
Li-3,3,0,3,LIGHT_A_LT_40,-2267.0,,,,4925.8249,,,,1.0,0.0,ABSTAIN,ULTRALIGHT_A_LT_8
Li-4,3,1,4,LIGHT_A_LT_40,1153.7603,,,,5504.949999999999,1619.57311,3885.3768899999986,,1.0,0.0,ABSTAIN,ULTRALIGHT_A_LT_8
Li-5,3,2,5,LIGHT_A_LT_40,5266.1325,,,,1669.72005,6643.113783333334,4973.393733333334,,1.0,0.0,ABSTAIN,ULTRALIGHT_A_LT_8
Li-6,3,3,6,LIGHT_A_LT_40,5332.3312,,,,3156.73635,6182.853433333333,3026.1170833333326,,1.0,0.0,ABSTAIN,ULTRALIGHT_A_LT_8
Li-7,3,4,7,LIGHT_A_LT_40,5606.4401,,,,6554.53705,6695.06525,140.52819999999974,,1.0,0.0,ABSTAIN,ULTRALIGHT_A_LT_8
Li-9,3,6,9,LIGHT_A_LT_40,5037.7685,,,,5045.587333333333,5636.81235,591.2250166666672,511.01967841925375,0.9729148213207326,0.027085178679267394,ABSTAIN,EXCESSIVE_DIRECTIONAL_DISAGREEMENT
Be-5,4,1,5,LIGHT_A_LT_40,18.0,,,,4280.428100000001,343.38014999999996,3937.047950000001,,1.0,0.0,ABSTAIN,ULTRALIGHT_A_LT_8
Be-6,4,2,6,LIGHT_A_LT_40,4487.2478,,,,7627.240599999999,4187.3187,3439.9218999999994,,1.0,0.0,ABSTAIN,ULTRALIGHT_A_LT_8
Be-7,4,3,7,LIGHT_A_LT_40,5371.5487,,,,3240.33465,5058.064899999999,1817.7302499999996,,1.0,0.0,ABSTAIN,ULTRALIGHT_A_LT_8
Be-9,4,5,9,LIGHT_A_LT_40,6462.6693,,,,6672.81995,5956.611583333333,716.2083666666667,511.01967841925375,0.9729148213207326,0.027085178679267394,ABSTAIN,EXCESSIVE_DIRECTIONAL_DISAGREEMENT
Be-10,4,6,10,LIGHT_A_LT_40,6497.6306,,,,6941.914416666666,6042.8895999999995,899.0248166666661,511.01967841925375,0.9729148213207326,0.027085178679267394,ABSTAIN,EXCESSIVE_DIRECTIONAL_DISAGREEMENT
Be-11,4,7,11,LIGHT_A_LT_40,5952.5402,,,,6150.650216666667,5638.568683333333,512.0815333333339,511.01967841925375,0.9729148213207326,0.027085178679267394,ABSTAIN,EXCESSIVE_DIRECTIONAL_DISAGREEMENT
